Pais,Dorsal,Nombre,Edad,Altura_m,Posicion
Francia,16,Mike Maignan,30,1.91,Portero
Francia,5,Jules Koundé,27,1.8,Defensa
Francia,4,William Saliba,25,1.92,Defensa
Francia,17,Dayot Upamecano,27,1.86,Defensa
Francia,22,Lucas Digne,32,1.78,Defensa
Francia,8,Aurélien Tchouaméni,26,1.88,Mediocampista
Francia,14,Adrien Rabiot,31,1.88,Mediocampista
Francia,11,Ousmane Dembélé,29,1.78,Mediocampista
Francia,7,Michael Olise,24,1.84,Mediocampista
Francia,10,Kylian Mbappé,27,1.78,Delantero
Francia,20,Bradley Barcola,23,1.86,Delantero
